category_id,category_name,description
1,Bình Nước Giữ Nhiệt,
2,Bóng Đèn Led Tube Thủy Tinh Bọc Nhựa - Hiệu Suất Sáng Cao,
3,Bảng Điều Khiển,
4,Bộ Đèn Chống Ẩm,
5,Chiếu Sáng Phòng Khách Rạng Đông - Ánh Sáng Rõ Nét - Chiếu Sáng Thông Minh,
6,Công Tắc Thông Minh,
7,Công Tắc Thông Minh Rạng Đông - Sang Trọng - Chống Cháy Nổ,
8,Cảm Biến Thông Minh,
9,Máng Đèn,
10,Phích Cao Cấp,
11,Phích Cầm Tay,
12,Phích Ủ,
13,Thiết Bị Khác,
14,"Đèn Bàn Học Rạng Đông Chống Cận Tốt Nhất, Bảo Vệ Thị Lực",
15,Đèn Bàn Văn Phòng Rạng Đông - Chống Mỏi Mắt - Cảm Ứng Đa Năng - Giá Tốt,
16,Đèn Bắt Muỗi - Vợt Bắt Muỗi Rạng Đông - Giá Tốt Nhất Thị Trường,
17,Đèn Chiếu Sáng Lớp Học Rạng Đông - Bền Bỉ - Ánh Sáng Rõ Nét - Bh 2 Năm,
18,Đèn Chiếu Sáng Trong Nhà Nlmt,
19,Đèn Cây Xăng Rạng Đông - Hiện Đại - Chiếu Sáng Tốt,
20,Đèn Led Chiếu Pha Rạng Đông - Chống Nước - Bh 2 Năm,
21,Đèn Led Chiếu Sáng Đường,
22,Đèn Led Chiếu Sáng Đường Phố - Bền Bỉ - Bh 2 Năm Chính Hãng,
23,Đèn Led Chỉ Dẫn,
24,Đèn Led Dây Thông Minh,
25,Đèn Led Gắn Tường Rạng Đông - Nổi Bật Mọi Không Gian Nội Thất,
26,Đèn Led Highbay,
27,Đèn Led Khác,
28,Đèn Led Khẩn Cấp,
29,Đèn Led Nlmt,
30,Đèn Led Nông Nghiệp Rạng Đông - Ứng Dụng Hiện Đại - Thông Minh - Tiết Kiệm,
31,Đèn Led Panel Khổ Lớn,
32,Đèn Led Panel Rạng Đông - Tiết Kiệm Điện 60  - Giá Tốt - Bền Bỉ - Sang Trọng,
33,Đèn Led Tracklight Thông Minh,
34,Đèn Led Track Light Rạng Đông - Giá Tốt Nhất Thị Trường - Bh 2 Năm,
35,Đèn Led Tube Rạng Đông - Tiết Kiệm Điện - Độ Bền Cao - Giá Tốt Nhất Thị Trường,
36,Đèn Led Tube T8 0.6m 10w Nhôm Nhựa - Hàng Chính Hãng - Bh 2 Năm,
37,Đèn Led Âm Trần Downlight,
38,Đèn Led Ốp Trần Rạng Đông-  Tiết Kiệm 60  Điện Năng - 30000 Giờ Sử Dụng - Ánh Sáng Trung Thực,
39,Đèn Led Ốp Trần Thông Minh,
40,Ổ Cắm Thông Minh,
41,Bình Nước Cầm Tay,
42,Bóng Đèn LED Tube Thủy Tinh,
43,Bảng Điều Khiển Cảnh Thông Minh - Sang Trọng - Hiện Đại,
44,Bộ Điều Khiển Trung Tâm,
45,Bộ Đèn Chống Nổ,
46,Phân Loại Theo Màu Sắc Đèn Led Ốp Trần - Chip Led Samsung - Bh 2 Năm,
47,Phân Loại Theo Tính Năng Đèn Led Ốp Trần Rạng Đông - Siêu Bền - Tiết Kiệm Điện,
48,Rallismart Rạng Đông - Tinh Tế - Hiệu Quả - Công Nghệ Thông Minh,
49,Đánh Giá Theo Tính Năng Đèn Led Bulb Rạng Đông - Ánh Sáng Chất Lượng - Hoạt Động Bền Bỉ,
50,Đèn Led Dây Rạng Đông - Biến Ánh Sáng Thành Nghệ Thuật,
51,Đèn Led Panel Khổ Lớn Thông Minh,
52,Đèn Led Ray,
53,Đèn Led Tracklight Thông Minh - Chip Led Samsung - Tiết Kiệm - Hiệu Quả,
54,Đèn Led Âm Trần,
55,Đèn Pha Năng Lượng Mặt Trời,
56,Đèn Tàu Cá Nlmt,
