product_id,product_name,product_code,link_to_product,category_id,color,size,material,original_price,discounted_price,stock_quantity,manufacturing_date,warranty_period,description
1,BÌNH GIỮ NHIỆT INOX RD-BGN05ST1,BGN05ST1 PHN00025996,https://static.rangdongstore.vn/240524018591/2024/05/24/RD-BGN05ST1.jpg?fm=webp&w=500,1,,,,209000,146300.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
2,BÌNH GIỮ NHIỆT INOX RD-BGN05ST1.E,RD-BGN05ST1.E PHN00023817-XA0100,https://static.rangdongstore.vn/231019015249/2023/10/19/BGN05ST1%20-%201.jpg?fm=webp&w=500,1,,,,319000,223300.0,,,,"Dung tích: 500 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (282 x 212 x 245) mm"
3,BÌNH GIỮ NHIỆT INOX RD-BGN05ST3.E,BGN05ST3.E PHN00025998-XA0100,https://static.rangdongstore.vn/240524018584/2024/05/24/RD-BGN05ST3.E.jpg?fm=webp&w=500,1,,,,396000,277200.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
4,BÌNH GIỮ NHIỆT INOX RD-BGN12ST1,RD-BGN12ST1 PHN00027933-DO0100,https://static.rangdongstore.vn/250115027341/2025/01/15/bgn12st.jpg?fm=webp&w=500,1,,,,396000,277200.0,,,,No description
5,BÌNH GIỮ NHIỆT INOX RD-BGN095ST1- QUÀ TẶNG 8/3,BGN095ST1 PHN00028423-TR01HV01,https://static.rangdongstore.vn/250207027391/2025/02/07/4.jpg?fm=webp&w=500,1,,,,374000,250000.0,,,,"Đường kính miệng: Ø54 mm | Đường kính thân x chiều cao: Ø91 x 256 mm | Trọng lượng: 420g | Dung tích danh định: 950ml | Độ giữ nhiệt sau 6h: Giữ nóng sau 12h & giữ lạnh sau 24h | Tính năng rót nước: Xoáy nắp rót nước | Cấu tạo vật liệu: Nắp : Nhựa PP
Ruột trong: Inox 304
Vỏ ngoài: Inox 201
Gioăng: Silicone | Tiêu chuẩn áp dụng: TCCS 45:2023/RĐ
QCVN 12-1,2,3:2011/BYT | Số lượng bao gói: 01 sản phẩm/ hộp trong
12 sản phẩm/ hộp ngoài | Khối lượng tịnh 1 cái: 420g | Khối lượng tịnh cả hộp ngoài: 7kg | Kích thước Chất liệu hộp trong: Kích thước: 92 x 92 x 264 mm
Chất liệu: Carton bồi duplex 250 g/m2 | Kích thước chất liệu hộp ngoài: Kích thước:386 x 288 x 274 mm
Chất liệu: Carton sóng A"
6,BÌNH GIỮ NHIỆT INOX RD-BGN05ST2.E,BGN05ST2.E PHN00025995-DO0100,https://static.rangdongstore.vn/240605018791/2024/06/05/IMG_7574.jpg?fm=webp&w=500,1,,,,396000,277200.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
7,BÌNH GIỮ NHIỆT INOX RD-BGN10ST1,BGN10ST1 PHN00025993-XA0100,https://static.rangdongstore.vn/240605018779/2024/06/05/IMG_7535.jpg?fm=webp&w=500,1,,,,418000,292600.0,,,,"Dung tích: 1 lit | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
8,BÌNH GIỮ NHIỆT INOX RD-BGN045ST1,RD-BGN045ST1 PHN00023819-DO0100,https://static.rangdongstore.vn/240624019207/2024/06/24/123.jpg?fm=webp&w=500,1,,,,297000,207900.0,,,,"Dung tích: 450 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (282 x 212 x 245) mm"
9,BÌNH GIỮ NHIỆT INOX RD-BGN06ST1,BGN06ST1 PHN00023821-XA0100,https://static.rangdongstore.vn/231107015605/2023/11/07/5a30d3d05670812ed861.jpg?fm=webp&w=500,1,,,,352000,246400.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
10,BÌNH GIỮ NHIỆT INOX RD-BGN05ST2,BGN05ST2 PHN00025997,https://static.rangdongstore.vn/240524018583/2024/05/24/RD-BGN05ST2.jpg?fm=webp&w=500,1,,,,242000,169400.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
11,BÌNH GIỮ NHIỆT INOX RD-BGN04ST1,RD-BGN04ST1 PHN00023820-DE0100,https://static.rangdongstore.vn/231107015604/2023/11/07/04%206.jpg?fm=webp&w=500,1,,,,286000,200200.0,,,,"Dung tích: 400 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (282 x 212 x 228) mm"
12,BÌNH GIỮ NHIỆT INOX RD-BGN045ST2,BGN045ST2 PHN00025994-XA0100,https://static.rangdongstore.vn/240605018796/2024/06/05/IMG_7597.jpg?fm=webp&w=500,1,,,,220000,154000.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
13,BÌNH GIỮ NHIỆT INOX RD-BGN036ST1,RD-BGN036ST1 PHN00023815-DO0100,https://static.rangdongstore.vn/231019015247/2023/10/19/BGN036ST1%20-%201.jpg?fm=webp&w=500,1,,,,253000,177100.0,,,,"Dung tích: 360 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (258 x 194 x 212) mm"
14,BÌNH GIỮ NHIỆT INOX RD-BGN045ST1.E,BGN045ST1.E PHN00025992HO0100,https://static.rangdongstore.vn/240605018783/2024/06/05/IMG_7600.jpg?fm=webp&w=500,1,,,,319000,223300.0,,,,"Dung tích: 600 ml | Vật liệu: Nắp Inox, Ruột Inox | Số lượng bao gói thùng: 12 cái | Kích thước thùng: (362 x 272 x 220) mm"
15,BÌNH GIỮ NHIỆT INOX RD-BGN095ST1,RD-BGN095ST1 PHN00027932-DO0100,https://static.rangdongstore.vn/250115027337/2025/01/15/RD-BGN095ST1_R-2.jpg?fm=webp&w=500,1,,,,374000,261800.0,,,,No description
16,BÓNG ĐÈN THỦY TINH BỌC NHỰA- BÓNG ĐÈN LED TUBE T8 0.6M 10W N02 (THỦY TINH BỌC NHỰA),N02600/10W LED00033884,https://static.rangdongstore.vn/220729009613/2022/07/29/1%20(1).jpg?fm=webp&w=500,2,,,,95000,76000.0,,,,No description
17,BÓNG TUBE THỦY TINH BỌC NHỰA- BÓNG ĐÈN LED TUBE T8 1.2M 20W N02 (THỦY TINH BỌC NHỰA),T8N021200/20W LED00036571,https://static.rangdongstore.vn/product/Den-LED/LED_Tube/T8-N02-120-20W/1.jpg?fm=webp&w=500,2,,,,116000,93000.0,,,,"Nguồn điện danh định: 220V/50-60Hz | Công suất: 20W | Lắp thay thế bộ đèn huỳnh quang: 1,2m công suất 40W/36W | Vật liệu bóng:  Thủy tinh bọc nhựa | Điện áp có thể hoạt động: (170-250)V | Dòng điện (Max): 180 mA | Hệ số công suất: 0.5 | Quang thông: 2400/2600 lm | Hiệu suất sáng: 120/130 lm/w | Nhiệt độ màu:  3000K/6500K | Hệ số trả màu (CRI): 82.0 | Tuổi thọ đèn: 20.000 giờ | Chu kỳ tắt bật: 50.000 lần | Mức tiêu thụ điện 1000 giờ: 20 kWh | Mức hiệu suất năng lượng: A+ | Chiều dài: 1213 mm | Chiều rộng: 27 mm | Hàm lượng thủy ngân: 0 mg | Thời gian khởi động của đèn: < 0,5 giây"
18,ĐIỀU KHIỂN CẢNH ĐA NĂNG ĐK02.TP.BLE,ĐK02.TP.BLE LED00043801,https://static.rangdongstore.vn/220803009647/2022/08/03/TP01.BLE.jpg?fm=webp&w=500,3,,,,3014000,2863000.0,,,,Độ phân giải: 720x720 h2ixel | phương thức điều khiển: Cảm ứng Touch | Kích thước: (100x100x40) mm | Khối lượng: 250g | Giải điện áp hoạt động: (150 ÷ 250) V | Điện áp danh định: 220 V | Tần số danh định: 50 | Công suất max: 3W | Dài độ ẩm hoạt động: (0&nbsh2;÷ 95)% | Dải nhiệt độ hoạt động: (-10 - 50 độ C | Không gian sử dụng: Chỉ sử dụng trong nhà. | Lắp đặt: Ngắt nguồn điện trước khi lắp đặt hoặc bảo dưỡng. | An toàn: Tránh để nước rơi vào thiết bị hoặc nơi có độ ẩm cao.
